width, height, channel= 4 4 3 LAMP, LAPV, TENG, GLVN= 129.656   5875.984  71500.875 21.477   
width, height, channel= 6 4 3 LAMP, LAPV, TENG, GLVN= 77.854    2481.076  40062.083 21.265   
width, height, channel= 7 6 3 LAMP, LAPV, TENG, GLVN= 99.298    4746.452  100833.286 24.215   
width, height, channel= 6 5 3 LAMP, LAPV, TENG, GLVN= 95.9      4008.872  116747.533 37.424   
width, height, channel= 5 6 3 LAMP, LAPV, TENG, GLVN= 97.083    4208.516  110551.933 28.253   
width, height, channel= 12 10 3 LAMP, LAPV, TENG, GLVN= 54.904    1870.98   54809.9   20.976   
width, height, channel= 12 9 3 LAMP, LAPV, TENG, GLVN= 40.162    1290.251  31966.37  23.522   
width, height, channel= 23 16 3 LAMP, LAPV, TENG, GLVN= 28.822    588.161   38921.223 37.403   
width, height, channel= 27 23 3 LAMP, LAPV, TENG, GLVN= 29.969    777.861   32692.254 28.65    
width, height, channel= 25 20 3 LAMP, LAPV, TENG, GLVN= 27.83     497.077   24396.936 21.262   
width, height, channel= 25 21 3 LAMP, LAPV, TENG, GLVN= 28.694    854.898   27157.619 21.79    
width, height, channel= 30 23 3 LAMP, LAPV, TENG, GLVN= 25.144    654.125   23377.397 25.57    
